"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"37","Raymond Joseph Cannon","Raymond Joseph Cannon","1951-11-25",NA,NA,"Raymond Joseph CannonMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1939Preceded byJohn C. SchaferSucceeded byJohn C. Schafer",0,"BornAugust 26, 1894Ironwood, MichiganDiedNovember 25, 1951(1951-11-25) (aged<U+00A0>57)Milwaukee, WisconsinNationalityAmericanPolitical partyDemocraticSpouse(s)Alice (n<e9>e Carey); 3 childrenAlma materMarquette University Law SchoolProfessionBaseball player, attorney"
"38","Michael Reilly","Michael Reilly","1869-07-15"," 1944-10-14",NA,"Michael K. ReillyMember of the U.S. House of Representativesfrom Wisconsin's 6th districtIn officeNovember 4, 1930<U+00A0><U+0096> January 3, 1939Preceded byFlorian LampertSucceeded byFrank Bateman KeefeMember of the U.S. House of Representativesfrom Wisconsin's 6th districtIn officeMarch 4, 1913<U+00A0><U+0096> March 3, 1917Preceded byMichael E. BurkeSucceeded byJames H. Davidson",0,"Born(1869-07-15)July 15, 1869Empire, WisconsinDiedOctober 14, 1944(1944-10-14) (aged<U+00A0>75)Neptune, New JerseyPolitical partyDemocratic"
"39","Gerald J. Boileau","Gerald J. Boileau","1900-01-15"," 1981-01-30",NA,"Gerald J. BoileauMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1939Preceded byGardner R. WithrowSucceeded byReid F. MurrayMember of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeMarch 4, 1931<U+00A0><U+0096> March 3, 1933Preceded byEdward E. BrowneSucceeded byJames F. Hughes",0,"Born(1900-01-15)January 15, 1900Woodruff, WisconsinDiedJanuary 30, 1981(1981-01-30) (aged<U+00A0>81)Wausau, WisconsinPolitical partyRepublican (1931-1935)
Wisconsin Progressive Party (1935-1939)"
"40","Thomas Ryum Amlie","Thomas Ryum Amlie","1973-08-22",NA,NA,"Thomas Ryum AmlieMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1939Preceded byGeorge Washington BlanchardSucceeded byStephen BollesMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeOctober 13, 1931<U+00A0><U+0096> March 3, 1933Preceded byHenry A. CooperSucceeded byGeorge Washington Blanchard",0,"BornApril 17, 1897Binford, North DakotaDiedAugust 22, 1973(1973-08-22) (aged<U+00A0>76)Madison, WisconsinPolitical partyRepublican
Wisconsin Progressive Party"
"41","Harry Sauthoff","Harry Sauthoff","1879-06-03"," 1966-06-16",NA,"Harry Sauthoff, Sr.Member of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeJanuary 3, 1941<U+00A0><U+0096> January 3, 1945Preceded byCharles Hawks, Jr.Succeeded byRobert Kirkland HenryMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1939Preceded byCharles W. HenneySucceeded byCharles Hawks, Jr.Member of the Wisconsin SenateIn office1925<U+0096>1929",0,"Born(1879-06-03)June 3, 1879Madison, WisconsinDiedJune 16, 1966(1966-06-16) (aged<U+00A0>87)Madison, WisconsinPolitical partyProgressive"
"42","Bernard J. Gehrmann","Bernard J. Gehrmann","1880-02-13"," 1958-07-12",NA,"Bernard J. GehrmannMember of the U.S. House of Representativesfrom Wisconsin's 10th districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1943Preceded byHubert H. PeaveySucceeded byAlvin O'Konski",0,"Born(1880-02-13)February 13, 1880Gnesen, East PrussiaDiedJuly 12, 1958(1958-07-12) (aged<U+00A0>78)Mellen, WisconsinPolitical partyProgressive"
"43","Stephen Bolles","Stephen Bolles","1941-07-08",NA,NA,"Stephen BollesMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeJanuary 3, 1939<U+00A0><U+0096> July 8, 1941Preceded byThomas Ryum AmlieSucceeded byLawrence H. Smith",0,"BornJune 25, 1866Springboro, PennsylvaniaDiedJuly 8, 1941(1941-07-08) (aged<U+00A0>75)Washington, D.C.Political partyRepublicanSpouse(s)Aimee Carreras Wall Bolles"
"44","Charles Hawks Jr.","Charles Hawks, Jr.","1960-01-06",NA,NA,"Charles Hawks Jr.Member of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1941Preceded byHarry SauthoffSucceeded byHarry Sauthoff",0,"BornJuly 7, 1899Horicon, WisconsinDiedJanuary 6, 1960(1960-01-06) (aged<U+00A0>60)Bryn Mawr, PennsylvaniaPolitical partyRepublican"
"45","Harry W. Griswold","Harry W. Griswold","1939-07-04",NA,NA,"Harry W. GriswoldMember of the U.S. House of Representativesfrom Wisconsin's 3rd districtIn officeJanuary 3, 1939<U+00A0><U+0096> July 4, 1939Preceded byGardner R. WithrowSucceeded byWilliam H. StevensonMember of the Wisconsin SenateIn office1933-1937",0,"BornMay 19, 1886West Salem, WisconsinDiedJuly 4, 1939(1939-07-04) (aged<U+00A0>53)Washington, D.C.Political partyRepublican"
"46","Lewis D. Thill","Lewis D. Thill","1903-10-18"," 1975-05-06",NA,"Lewis D. ThillMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1943Preceded byThomas O' MalleySucceeded byHoward J. McMurray",0,"Born(1903-10-18)October 18, 1903Milwaukee, WisconsinDiedMay 6, 1975(1975-05-06) (aged<U+00A0>71)San Diego, CaliforniaPolitical partyRepublican"
"47","Frank Bateman Keefe","Frank B. Keefe","1887-09-23"," 1952-02-05",NA,"Frank Bateman KeefeMember of the U.S. House of Representativesfrom Wisconsin's 6th districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1951Preceded byMichael ReillySucceeded byWilliam Van Pelt",0,"Born(1887-09-23)September 23, 1887Winneconne, WisconsinDiedFebruary 5, 1952(1952-02-05) (aged<U+00A0>64)Neenah, WisconsinPolitical partyRepublicanAlma materUniversity of Michigan"
"48","Reid F. Murray","Reid F. Murray","1887-10-16"," 1952-04-29",NA,"Reid F. MurrayMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeJanuary 3, 1939<U+00A0><U+0096> April 29, 1952Preceded byGerald J. BoileauSucceeded byMelvin Laird",0,"BornReid Fred Murray(1887-10-16)October 16, 1887Ogdensburg, WisconsinDiedApril 29, 1952(1952-04-29) (aged<U+00A0>64)Bethesda, MarylandPolitical partyRepublican"
"49","Joshua L. Johns","Joshua L. Johns","1881-02-27"," 1947-03-16",NA,"Joshua L. JohnsMember of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1943Preceded byGeorge J. SchneiderSucceeded byLavern Dilweg",0,"Born(1881-02-27)February 27, 1881Eagle, WisconsinDiedMarch 16, 1947(1947-03-16) (aged<U+00A0>66)Green Bay, WisconsinPolitical partyRepublican"
"50","William H. Stevenson","William H. Stevenson","1978-03-19",NA,NA,"William H. StevensonMember of the U.S. House of Representativesfrom Wisconsin's 3rd districtIn officeJanuary 3, 1941<U+00A0><U+0096> January 3, 1949Preceded byHarry W. GriswoldSucceeded byGardner R. Withrow",0,"BornSeptember 23, 1891Kenosha, WisconsinDiedMarch 19, 1978(1978-03-19) (aged<U+00A0>86)La Crosse, WisconsinPolitical partyRepublican"
"51","Lawrence H. Smith","Lawrence H. Smith","1958-01-22",NA,NA,"Lawrence Henry SmithMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeAugust 29, 1941<U+00A0><U+0096> January 22, 1958Preceded byStephen BollesSucceeded byGerald T. Flynn",0,"BornSeptember 15, 1892Racine, WisconsinDiedJanuary 22, 1958(1958-01-22) (aged<U+00A0>65)Washington, D.C.Political partyRepublican"
"52","Howard J. McMurray","Howard J. McMurray","1901-03-03"," 1961-08-14",NA,"Howard J. McMurrayMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1943<U+00A0><U+0096> January 3, 1945Preceded byLewis D. ThillSucceeded byAndrew Biemiller",0,"Born(1901-03-03)March 3, 1901Mount Hope, KansasDiedAugust 14, 1961(1961-08-14) (aged<U+00A0>60)Albuquerque, New MexicoPolitical partyDemocratic"
"53","LaVern Dilweg","LaVern Dilweg",NA,NA,NA,"LaVern DilwegNo. 70Position:EndPersonal informationBorn:(1903-11-01)November 1, 1903Milwaukee, WisconsinDied:January 2, 1968(1968-01-02) (aged<U+00A0>64)St. Petersburg, FloridaHeight:6<U+00A0>ft 3<U+00A0>in (1.91<U+00A0>m)Weight:200<U+00A0>lb (91<U+00A0>kg)Career informationHigh school:Washington (WI)College:MarquetteCareer history
 
Milwaukee Badgers (1926)
Green Bay Packers (1927<U+0096>1934)
Career highlights and awards
 
3x NFL champion (1929, 1930, 1931)
NFL's 1920s All-Decade Team
5x First Team All-Pro (1927<U+0096>31)
3x Second Team All-Pro (1926, 1932<U+0096>33)
Green Bay Packers Hall of Fame
Career NFL statisticsGames played:107Receptions:23Touchdowns:12Player stats at NFL.com",NA,NA
"54","Alvin O'Konski","Alvin E. O'Konski","1904-05-26"," 1987-07-08",NA,"Alvin E. O'KonskiMember of the U.S. House of Representativesfrom Wisconsin's 10th districtIn officeJanuary 3, 1943<U+00A0><U+0096> January 3, 1973Preceded byBernard J. GehrmannSucceeded byDistrict abolished",0,"Born(1904-05-26)May 26, 1904Kewaunee, WisconsinDiedJuly 8, 1987(1987-07-08) (aged<U+00A0>83)Kewaunee, WisconsinPolitical partyRepublican"
"55","Robert Kirkland Henry","Robert Kirkland Henry","1946-11-20",NA,NA,"Robert Kirkland HenryMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeJanuary 3, 1945 <U+0096> November 20, 1946Preceded byHarry SauthoffSucceeded byGlenn Robert Davis20th Treasurer of WisconsinIn officeJanuary 2, 1933<U+00A0><U+0096> January 4, 1937GovernorAlbert G. SchmedemanPhilip La FollettePreceded bySolomon LevitanSucceeded bySolomon Levitan",0,"BornFebruary 9, 1890Jefferson, WisconsinDiedNovember 20, 1946(1946-11-20) (aged<U+00A0>56)Madison, WisconsinResting placeGreenwood Cemetery, Jefferson, WisconsinPolitical partyRepublican"
"56","Andrew Biemiller","Andrew Biemiller","1906-07-23"," 1982-04-03",NA,"Andrew BiemillerMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1949<U+00A0><U+0096> January 3, 1951Preceded byCharles J. KerstenSucceeded byCharles J. KerstenMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1947Preceded byHoward J. McMurraySucceeded byCharles J. KerstenMember of the Wisconsin State AssemblyIn office1936<U+0096>1942",0,"Born(1906-07-23)July 23, 1906Sandusky, OhioDiedApril 3, 1982(1982-04-03) (aged<U+00A0>75)Bethesda, MarylandPolitical partySocialist, Progressive, Democrat"
"57","John W. Byrnes","John W. Byrnes","1913-06-12"," 1985-01-12",NA,"John W. Byrnescirca 1956Member of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1973Preceded byLaVern DilwegSucceeded byHarold Vernon FroehlichMember of the Wisconsin Senatefrom the 2nd districtIn office1941<U+0096>1945Preceded byMichael F. Kresky, Jr.Succeeded byHarold A. Lytie",0,"BornJohn William Byrnes(1913-06-12)June 12, 1913Green Bay, WisconsinDiedJanuary 12, 1985(1985-01-12) (aged<U+00A0>71)Marshfield, WisconsinPolitical partyRepublicanSpouse(s)Barbara Preston ByrnesChildren6 (3 sons, 3 daughters)Alma materUniversity of WisconsinOccupationAttorney"
"58","John C. Brophy","John C. Brophy","1976-12-26",NA,NA,"John C. BrophyMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeJanuary 3, 1947<U+00A0><U+0096> January 3, 1949Preceded byThaddeus WasielewskiSucceeded byClement J. Zablocki",0,"BornJohn Charles BrophyOctober 8, 1901Eagle, WisconsinDiedDecember 26, 1976(1976-12-26) (aged<U+00A0>75)Milwaukee, WisconsinNationalityAmericanPolitical partyRepublicanAlma materMarquette Academy"
"59","Charles J. Kersten","Charles J. Kersten","1902-05-26"," 1972-10-31",NA,"Charles J. KerstenMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1951<U+00A0><U+0096> January 3, 1955Preceded byAndrew BiemillerSucceeded byHenry S. ReussMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1947<U+00A0><U+0096> January 3, 1949Preceded byAndrew BiemillerSucceeded byAndrew Biemiller",0,"Born(1902-05-26)May 26, 1902Chicago, IllinoisDiedOctober 31, 1972(1972-10-31) (aged<U+00A0>70)Milwaukee, WisconsinPolitical partyRepublican"
"60","Glenn Robert Davis","Glenn Robert Davis","1988-09-21",NA,NA,"Glenn Robert DavisDavis in 1956Member of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeJanuary 3, 1965 <U+0096> December 31, 1974Preceded byLester JohnsonSucceeded byBob KastenMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeApril 22, 1947 <U+0096> January 3, 1957Preceded byRobert Kirkland HenrySucceeded byDonald Edgar TewesMember of the Wisconsin State AssemblyIn officeJanuary 6, 1941 - June 1942",1,"BornOctober 28, 1914Vernon, WisconsinDiedSeptember 21, 1988(1988-09-21) (aged<U+00A0>73) Arlington, VirginiaPolitical partyRepublicanMilitary serviceBranch/serviceUnited States NavyYears<U+00A0>of service1942<U+0096>1945RankLieutenantBattles/warsWorld War II"
"61","Clement J. Zablocki","Clement J. Zablocki","1912-11-18"," 1983-12-03",NA,"Clement J. ZablockiChair of the House Committee on Foreign AffairsIn officeJanuary 3, 1977<U+00A0><U+0096> December 3, 1983Preceded byThomas E. MorganSucceeded byDante FascellMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeJanuary 3, 1949<U+00A0><U+0096> December 3, 1983Preceded byJohn C. BrophySucceeded byJerry KleczkaMember of the Wisconsin State SenateIn office1943<U+0096>1949",0,"BornClement John Zablocki(1912-11-18)November 18, 1912Milwaukee, WisconsinDiedDecember 3, 1983(1983-12-03) (aged<U+00A0>71)Washington, D.C., U.S.NationalityAmericanPolitical partyDemocraticAlma materMarquette University"
"62","William Van Pelt","William Van Pelt","1905-03-10"," 1996-06-02",NA,"William Van PeltMember of the U.S. House of Representativesfrom Wisconsin's 6th districtIn officeJanuary 3, 1951<U+00A0><U+0096> January 3, 1965Preceded byFrank Bateman KeefeSucceeded byJohn Abner Race",0,"Born(1905-03-10)March 10, 1905Glenbeulah, WisconsinDiedJune 2, 1996(1996-06-02) (aged<U+00A0>91)Fond du Lac, WisconsinPolitical partyRepublican"
"63","Melvin Laird","Melvin R. Laird","1922-09-01"," 2016-11-16",NA,"Melvin LairdWhite House Domestic Affairs AdvisorIn officeMay 1, 1973<U+00A0><U+0096> January 8, 1974Acting: May 1, 1973 <U+0096> June 6, 1973PresidentRichard NixonPreceded byJohn EhrlichmanSucceeded byKenneth Reese Cole Jr.10th United States Secretary of DefenseIn officeJanuary 22, 1969<U+00A0><U+0096> January 29, 1973[1]PresidentRichard NixonPreceded byClark CliffordSucceeded byElliot RichardsonChair of the House Republican ConferenceIn officeJanuary 3, 1965<U+00A0><U+0096> January 3, 1969LeaderGerald FordPreceded byGerald FordSucceeded byJohn B. AndersonMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 21, 1969Preceded byReid F. MurraySucceeded byDave Obey",1,"BornMelvin Robert Laird(1922-09-01)September 1, 1922Omaha, Nebraska, U.S.DiedNovember 16, 2016(2016-11-16) (aged<U+00A0>94)Fort Myers, Florida, U.S.Resting placeArlington National CemeteryPolitical partyRepublicanSpouse(s)Barbara Masters(m.<U+00A0>1942; died<U+00A0>1992)Carole Fleishman (m.<U+00A0>1993)Children4EducationCarleton College (BA)Military serviceAllegianceUnited StatesBranch/service<U+00A0>United States NavyYears<U+00A0>of service1942<U+0096>1946RankJunior OfficerBattles/warsWorld War IIAwardsPurple Heart"
"64","Henry S. Reuss","Henry S. Reuss","1912-02-22"," 2002-01-12",NA,"Henry Schoellkopf ReussImage courtesy of the Office of the Clerk, U.S. House of RepresentativesMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeJanuary 3, 1955<U+00A0><U+0096> January 3, 1983Preceded byCharles J. KerstenSucceeded byJim Moody",1,"Born(1912-02-22)February 22, 1912Milwaukee, WisconsinDiedJanuary 12, 2002(2002-01-12) (aged<U+00A0>89)San Rafael, CaliforniaResting placeForest Home CemeteryPolitical partyDemocraticSpouse(s)Margaret Magrath(m.<U+00A0>1942; her death<U+00A0>2008)RelationsHenry Schoellkopf (uncle)Children4ParentsGustav A. ReussPaula SchoellkopfAlma materCornell UniversityHarvard Law SchoolAwardsBronze StarMilitary serviceAllegianceUnited States of AmericaBranch/serviceUnited States ArmyRankMajorBattles/warsWorld War II"
"65","Donald Edgar Tewes","Donald Edgar Tewes","1916-08-04"," 2012-08-29",NA,"Donald Edgar TewesMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeJanuary 3, 1957 <U+0096> January 3, 1959Preceded byGlenn Robert DavisSucceeded byRobert Kastenmeier",1,"Born(1916-08-04)August 4, 1916Merrill, WisconsinDiedAugust 29, 2012(2012-08-29) (aged<U+00A0>96)Waukesha, WisconsinPolitical partyRepublicanMilitary serviceBranch/serviceUnited States Army Air ForcesYears<U+00A0>of service1942<U+0096>1946RankMajorUnitFourteenth Air ForceBattles/warsWorld War II"
"66","Gerald T. Flynn","Gerald T. Flynn","1910-10-07"," 1990-05-14",NA,"Gerald T. FlynnMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeJanuary 3, 1959<U+00A0><U+0096> January 3, 1961Preceded byLawrence H. SmithSucceeded byHenry SchadebergMember of the Wisconsin Senatefrom the 21st districtIn office1951<U+0096>1955Succeeded byLynn Stalbaum",0,"BornGerald Thomas Flynn(1910-10-07)October 7, 1910Racine, Wisconsin, U.S.DiedMay 14, 1990(1990-05-14) (aged<U+00A0>79)Racine, Wisconsin, U.S.Political partyDemocraticSpouse(s)Mary McAvoyAlma materMarquette University (LLB)"
"67","Robert Kastenmeier","Robert W. Kastenmeier","1924-01-24"," 2015-03-20",NA,"Robert KastenmeierMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeJanuary 3, 1959<U+00A0><U+0096> January 3, 1991Preceded byDonald Edgar TewesSucceeded byScott Klug",1,"BornRobert William Kastenmeier(1924-01-24)January 24, 1924Beaver Dam, WisconsinDiedMarch 20, 2015(2015-03-20) (aged<U+00A0>91)Arlington, VirginiaPolitical partyDemocratic PartySpouse(s)Dorothy ChambersProfessionLawyerMilitary serviceBranch/serviceUnited States ArmyYears<U+00A0>of service1943<U+0096>1946RankFirst LieutenantPhilippines Campaign (1944<U+0096>45)World War II"
"68","Henry C. Schadeberg","Henry C. Schadeberg","1985-12-11",NA,NA,"Henry Carl SchadebergMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeJanuary 3, 1967<U+00A0><U+0096> January 3, 1971Preceded byLynn StalbaumSucceeded byLes AspinIn officeJanuary 3, 1961<U+00A0><U+0096> January 3, 1965Preceded byGerald T. FlynnSucceeded byLynn Stalbaum",0,"BornOctober 12, 1913Manitowoc, WisconsinDiedDecember 11, 1985(1985-12-11) (aged<U+00A0>72)Rockbridge Baths, VirginiaPolitical partyRepublican"
